ID;Cluster
997;cluster_5
998;cluster_2
999;cluster_0
1000;cluster_5
1001;cluster_0
1002;cluster_2
1003;cluster_4
1004;cluster_0
1005;cluster_1
1006;cluster_3
1007;cluster_3
1008;cluster_2
1009;cluster_3
1010;cluster_3
1011;cluster_3
1012;cluster_4
1013;cluster_2
1014;cluster_1
1015;cluster_2
1016;cluster_2
1017;cluster_0
1018;cluster_0
1019;cluster_2
1020;cluster_3
1021;cluster_4
1022;cluster_2
1023;cluster_1
1024;cluster_3
1025;cluster_2
1026;cluster_4
1027;cluster_4
1028;cluster_0
1029;cluster_2
1030;cluster_2
1031;cluster_2
1032;cluster_2
1033;cluster_0
1034;cluster_4
1035;cluster_5
1036;cluster_4
1037;cluster_3
1038;cluster_5
1039;cluster_3
1040;cluster_5
1041;cluster_3
1042;cluster_3
1043;cluster_2
1044;cluster_4
1045;cluster_2
1046;cluster_5
1047;cluster_2
1048;cluster_0
1049;cluster_2
1050;cluster_2
1051;cluster_2
1052;cluster_2
1053;cluster_3
1054;cluster_0
1055;cluster_5
1056;cluster_5
1057;cluster_3
1058;cluster_4
1059;cluster_2
1060;cluster_2
1061;cluster_0
1062;cluster_3
1063;cluster_1
1064;cluster_5
1065;cluster_2
1066;cluster_0
1067;cluster_5
1068;cluster_2
1069;cluster_2
1070;cluster_2
1071;cluster_2
1072;cluster_4
1073;cluster_2
1074;cluster_4
1075;cluster_2
1076;cluster_3
1077;cluster_3
1078;cluster_2
1079;cluster_5
1080;cluster_3
1081;cluster_3
1082;cluster_3
1083;cluster_0
1084;cluster_2
1085;cluster_2
1086;cluster_0
1087;cluster_1
1088;cluster_3
1089;cluster_3
1090;cluster_0
1091;cluster_1
1092;cluster_1
1093;cluster_1
1094;cluster_3
1095;cluster_1
1096;cluster_3
1097;cluster_2
1098;cluster_2
1099;cluster_2
1100;cluster_0
1101;cluster_4
1102;cluster_4
1103;cluster_3
1104;cluster_3
1105;cluster_2
1106;cluster_3
1107;cluster_2
1108;cluster_2
1109;cluster_2
1110;cluster_2
1111;cluster_2
1112;cluster_2
1113;cluster_0
1114;cluster_5
1115;cluster_4
1116;cluster_3
1117;cluster_1
1118;cluster_2
1119;cluster_0
1120;cluster_2
1121;cluster_3
1122;cluster_3
1123;cluster_3
1124;cluster_0
1125;cluster_1
1126;cluster_3
1127;cluster_2
1128;cluster_2
1129;cluster_5
1130;cluster_2
1131;cluster_3
1132;cluster_3
1133;cluster_3
1134;cluster_2
1135;cluster_2
1136;cluster_2
1137;cluster_5
1138;cluster_2
1139;cluster_5
1140;cluster_2
1141;cluster_5
1142;cluster_5
1143;cluster_0
1144;cluster_4
1145;cluster_5
1146;cluster_5
1147;cluster_5
1148;cluster_5
1149;cluster_0
1150;cluster_5
1151;cluster_0
1152;cluster_3
1153;cluster_3
1154;cluster_3
1155;cluster_1
1156;cluster_2
1157;cluster_3
1158;cluster_3
1159;cluster_1
1160;cluster_3
1161;cluster_3
1162;cluster_0
1163;cluster_1
1164;cluster_2
1165;cluster_3
1166;cluster_2
1167;cluster_4
1168;cluster_3
1169;cluster_4
1170;cluster_3
1171;cluster_5
1172;cluster_5
1173;cluster_3
1174;cluster_3
1175;cluster_3
1176;cluster_3
1177;cluster_5
1178;cluster_5
1179;cluster_0
1180;cluster_5
1181;cluster_4
1182;cluster_1
1183;cluster_3
1184;cluster_4
1185;cluster_5
1186;cluster_2
1187;cluster_0
1188;cluster_3
1189;cluster_3
1190;cluster_5
1191;cluster_3
1192;cluster_2
1193;cluster_3
1194;cluster_3
1195;cluster_4
1196;cluster_4
1197;cluster_4
1198;cluster_5
1199;cluster_4
1200;cluster_3
1201;cluster_2
1202;cluster_1
1203;cluster_4
1204;cluster_0
1205;cluster_2
1206;cluster_3
1207;cluster_2
1208;cluster_2
1209;cluster_2
1210;cluster_4
1211;cluster_3
1212;cluster_2
1213;cluster_1
1214;cluster_3
1215;cluster_3
1216;cluster_2
1217;cluster_4
1218;cluster_4
1219;cluster_4
1220;cluster_4
1221;cluster_3
1222;cluster_5
1223;cluster_3
1224;cluster_1
1225;cluster_4
1226;cluster_3
1227;cluster_1
1228;cluster_1
1229;cluster_4
1230;cluster_5
1231;cluster_2
1232;cluster_0
1233;cluster_1
1234;cluster_0
1235;cluster_2
1236;cluster_2
1237;cluster_5
1238;cluster_0
1239;cluster_3
1240;cluster_1
1241;cluster_3
1242;cluster_3
1243;cluster_5
1244;cluster_3
1245;cluster_1
1246;cluster_4
1247;cluster_1
1248;cluster_3
1249;cluster_5
1250;cluster_4
1251;cluster_5
1252;cluster_4
1253;cluster_3
1254;cluster_4
1255;cluster_0
1256;cluster_3
1257;cluster_4
1258;cluster_4
1259;cluster_3
1260;cluster_2
1261;cluster_5
1262;cluster_3
1263;cluster_4
1264;cluster_5
1265;cluster_0
1266;cluster_0
1267;cluster_1
1268;cluster_3
1269;cluster_2
1270;cluster_0
1271;cluster_1
1272;cluster_3
1273;cluster_1
1274;cluster_3
1275;cluster_0
1276;cluster_4
1277;cluster_5
1278;cluster_2
1279;cluster_0
1280;cluster_3
1281;cluster_5
1282;cluster_5
1283;cluster_2
1284;cluster_0
1285;cluster_3
1286;cluster_2
1287;cluster_3
1288;cluster_4
1289;cluster_2
1290;cluster_3
1291;cluster_1
1292;cluster_3
1293;cluster_3
1294;cluster_2
1295;cluster_1
1296;cluster_2
1297;cluster_5
1298;cluster_2
1299;cluster_3
1300;cluster_2
1301;cluster_1
1302;cluster_1
1303;cluster_2
1304;cluster_3
1305;cluster_2
1306;cluster_2
1307;cluster_1
1308;cluster_3
1309;cluster_2
1310;cluster_2
1311;cluster_1
1312;cluster_0
1313;cluster_5
1314;cluster_2
1315;cluster_2
1316;cluster_1
1317;cluster_2
1318;cluster_3
1319;cluster_0
1320;cluster_2
1321;cluster_3
1322;cluster_4
1323;cluster_3
1324;cluster_4
1325;cluster_2
1326;cluster_4
1327;cluster_4
1328;cluster_2
1329;cluster_4
1330;cluster_2
1331;cluster_4
1332;cluster_2
1333;cluster_2
1334;cluster_0
1335;cluster_1
1336;cluster_2
1337;cluster_2
1338;cluster_2
1339;cluster_0
1340;cluster_3
1341;cluster_2
1342;cluster_2
1343;cluster_2
1344;cluster_5
1345;cluster_2
1346;cluster_2
1347;cluster_1
1348;cluster_2
1349;cluster_5
1350;cluster_1
1351;cluster_2
1352;cluster_2
1353;cluster_2
1354;cluster_4
1355;cluster_3
1356;cluster_5
1357;cluster_1
1358;cluster_0
1359;cluster_0
1360;cluster_4
1361;cluster_3
1362;cluster_3
1363;cluster_3
1364;cluster_1
1365;cluster_4
1366;cluster_3
1367;cluster_3
1368;cluster_2
1369;cluster_2
1370;cluster_2
1371;cluster_5
1372;cluster_4
1373;cluster_2
1374;cluster_2
1375;cluster_4
1376;cluster_0
1377;cluster_2
1378;cluster_2
1379;cluster_1
1380;cluster_2
1381;cluster_3
1382;cluster_4
1383;cluster_3
1384;cluster_2
1385;cluster_3
1386;cluster_3
1387;cluster_2
1388;cluster_3
1389;cluster_3
1390;cluster_1
1391;cluster_0
1392;cluster_5
1393;cluster_1
1394;cluster_3
1395;cluster_1
1396;cluster_5
1397;cluster_0
1398;cluster_1
1399;cluster_3
1400;cluster_3
1401;cluster_5
1402;cluster_1
1403;cluster_2
1404;cluster_2
1405;cluster_2
1406;cluster_2
1407;cluster_2
1408;cluster_4
1409;cluster_3
1410;cluster_5
1411;cluster_3
1412;cluster_5
1413;cluster_3
1414;cluster_2
1415;cluster_2
1416;cluster_4
1417;cluster_3
1418;cluster_1
1419;cluster_2
1420;cluster_2
1421;cluster_5
1422;cluster_0
1423;cluster_3
1424;cluster_3
1425;cluster_3
1426;cluster_3
1427;cluster_3
1428;cluster_3
1429;cluster_4
1430;cluster_4
1431;cluster_4
1432;cluster_5
1433;cluster_3
1434;cluster_3
1435;cluster_3
1436;cluster_3
1437;cluster_4
1438;cluster_3
1439;cluster_1
1440;cluster_3
1441;cluster_5
1442;cluster_5
1443;cluster_5
1444;cluster_4
1445;cluster_2
1446;cluster_4
1447;cluster_2
1448;cluster_4
1449;cluster_4
1450;cluster_4
1451;cluster_4
1452;cluster_4
1453;cluster_4
1454;cluster_4
1455;cluster_3
1456;cluster_0
1457;cluster_2
1458;cluster_0
1459;cluster_2
1460;cluster_2
1461;cluster_1
1462;cluster_5
1463;cluster_3
1464;cluster_5
1465;cluster_0
1466;cluster_3
1467;cluster_0
1468;cluster_2
1469;cluster_2
1470;cluster_3
1471;cluster_5
1472;cluster_0
1473;cluster_3
1474;cluster_2
1475;cluster_1
1476;cluster_3
1477;cluster_3
1478;cluster_4
1479;cluster_5
1480;cluster_5
1481;cluster_0
1482;cluster_0
1483;cluster_3
1484;cluster_2
1485;cluster_3
1486;cluster_5
1487;cluster_0
1488;cluster_3
1489;cluster_1
1490;cluster_3
1491;cluster_2
1492;cluster_5
1493;cluster_3
1494;cluster_4
1495;cluster_4
1496;cluster_4
1497;cluster_4
1498;cluster_3
1499;cluster_4
1500;cluster_4
1501;cluster_3
1502;cluster_4
1503;cluster_0
1504;cluster_4
1505;cluster_4
1506;cluster_3
1507;cluster_4
1508;cluster_4
1509;cluster_4
1510;cluster_4
1511;cluster_4
1512;cluster_4
1513;cluster_4
1514;cluster_4
1515;cluster_4
1516;cluster_0
1517;cluster_4
1518;cluster_4
1519;cluster_4
1520;cluster_4
1521;cluster_0
1522;cluster_4
1523;cluster_4
1524;cluster_4
1525;cluster_4
1526;cluster_3
1527;cluster_4
1528;cluster_4
1529;cluster_4
1530;cluster_3
1531;cluster_1
1532;cluster_5
1533;cluster_0
1534;cluster_4
1535;cluster_5
1536;cluster_2
1537;cluster_2
1538;cluster_1
1539;cluster_4
1540;cluster_5
1541;cluster_2
1542;cluster_2
1543;cluster_2
1544;cluster_3
1545;cluster_2
1546;cluster_2
1547;cluster_3
1548;cluster_0
1549;cluster_3
1550;cluster_2
1551;cluster_3
1552;cluster_4
1553;cluster_2
1554;cluster_3
1555;cluster_4
1556;cluster_3
1557;cluster_1
1558;cluster_5
1559;cluster_2
1560;cluster_2
1561;cluster_3
1562;cluster_0
1563;cluster_5
1564;cluster_2
1565;cluster_2
1566;cluster_4
1567;cluster_3
1568;cluster_3
1569;cluster_5
1570;cluster_2
1571;cluster_2
1572;cluster_4
1573;cluster_4
1574;cluster_3
1575;cluster_0
1576;cluster_3
1577;cluster_1
1578;cluster_0
1579;cluster_5
1580;cluster_2
1581;cluster_2
1582;cluster_5
1583;cluster_2
1584;cluster_2
1585;cluster_2
1586;cluster_1
1587;cluster_2
1588;cluster_0
1589;cluster_3
1590;cluster_2
1591;cluster_2
1592;cluster_3
1593;cluster_2
1594;cluster_2
1595;cluster_2
1596;cluster_3
1597;cluster_3
1598;cluster_5
1599;cluster_3
1600;cluster_2
1601;cluster_3
1602;cluster_4
1603;cluster_3
1604;cluster_4
1605;cluster_3
1606;cluster_3
1607;cluster_0
1608;cluster_3
1609;cluster_2
1610;cluster_2
1611;cluster_2
1612;cluster_3
1613;cluster_4
1614;cluster_2
1615;cluster_5
1616;cluster_2
1617;cluster_2
1618;cluster_4
1619;cluster_2
1620;cluster_2
1621;cluster_0
1622;cluster_2
1623;cluster_3
1624;cluster_4
1625;cluster_3
1626;cluster_2
1627;cluster_2
1628;cluster_5
1629;cluster_5
1630;cluster_3
1631;cluster_3
1632;cluster_0
1633;cluster_2
1634;cluster_0
1635;cluster_2
1636;cluster_2
1637;cluster_4
1638;cluster_5
1639;cluster_2
1640;cluster_2
1641;cluster_3
1642;cluster_1
1643;cluster_2
1644;cluster_3
1645;cluster_3
1646;cluster_3
1647;cluster_3
1648;cluster_4
1649;cluster_3
1650;cluster_3
1651;cluster_3
1652;cluster_0
1653;cluster_4
1654;cluster_3
1655;cluster_2
1656;cluster_5
1657;cluster_2
1658;cluster_2
1659;cluster_2
1660;cluster_5
1661;cluster_3
1662;cluster_3
